context_3,context_2,context_1,response
"И тогда понимание придет
Гуглите сударь","спасибо)
ну в любом случае из вариантов с langchain+embeddings, использования sbert и классического fine-tune обычной LLM на своих знаниях - третий вариант вообще не катит?","А зачем тебе langchain тут, достаточно просто prompt нормального",Это я к своему старому вопросу
,,,"Если в претрене не было этой датки
Alignment не поможет
Останется тогда делать файнтюн разве что"
,,,"Про то, что есть в модели Сбера над смотреть по статьям Сбера и данным которые они юзали для обучения"
,,"Про то, что есть в модели Сбера над смотреть по статьям Сбера и данным которые они юзали для обучения",сберовский гигачат точно не знает о нашем CAD)
,"Про то, что есть в модели Сбера над смотреть по статьям Сбера и данным которые они юзали для обучения",сберовский гигачат точно не знает о нашем CAD),Дык в статье о претрене и не было такого источника указано
,,,"да, про это вопрос. взять русскую модельку, зафайнтюнить ее на справку по нашей CAD системе. И ребята с чата отвечали, что будут галюцинации в таком случае"
,,"да, про это вопрос. взять русскую модельку, зафайнтюнить ее на справку по нашей CAD системе. И ребята с чата отвечали, что будут галюцинации в таком случае","Я бы лучше делал retrieval + LLM по документации, чтобы модель не выдумывала. Так и LLM нужна меньше и надежность выше"
,"да, про это вопрос. взять русскую модельку, зафайнтюнить ее на справку по нашей CAD системе. И ребята с чата отвечали, что будут галюцинации в таком случае","Я бы лучше делал retrieval + LLM по документации, чтобы модель не выдумывала. Так и LLM нужна меньше и надежность выше",Все равно выдумает
"да, про это вопрос. взять русскую модельку, зафайнтюнить ее на справку по нашей CAD системе. И ребята с чата отвечали, что будут галюцинации в таком случае","Я бы лучше делал retrieval + LLM по документации, чтобы модель не выдумывала. Так и LLM нужна меньше и надежность выше",Все равно выдумает,"Да но надежность выше, т.к. можно узнать на какой документ модель ссылается (или даже на какую его часть, если они индексируются). У сбера видел также прям указанние после работы LLM куда смотреть, чтобы проверять результат, но как они это сделали не в курсе."
"Я бы лучше делал retrieval + LLM по документации, чтобы модель не выдумывала. Так и LLM нужна меньше и надежность выше",Все равно выдумает,"Да но надежность выше, т.к. можно узнать на какой документ модель ссылается (или даже на какую его часть, если они индексируются). У сбера видел также прям указанние после работы LLM куда смотреть, чтобы проверять результат, но как они это сделали не в курсе.",Оно и без ЛЛМ так работало
,,,"Поэтому посоветовали ещё и БД рядом положить видимо
И к ней ретривить"
,,"Поэтому посоветовали ещё и БД рядом положить видимо
И к ней ретривить","Это о-енно здорово, надеюсь скоро смогу выбросить весь зелёный хлам на помойку (где ему и место)"
,"Поэтому посоветовали ещё и БД рядом положить видимо
И к ней ретривить","Это о-енно здорово, надеюсь скоро смогу выбросить весь зелёный хлам на помойку (где ему и место)",Пример retrieve + llm есть в чате выше space от Ильи Гусева
,,,"да, уже смотрю. пока что-то нерелевантные куски pfd находит"
,,"да, уже смотрю. пока что-то нерелевантные куски pfd находит","Она и будет их находить. Чтобы завести ретривер этот, нужно сильно постараться и там будет далеко не 10 строчек"
,,,"а не проще тут без всяких нейросетей просто в коде проанализировать. если есть какие-то ответы от retrieve - составляем промт для llm, если нет - пишем пользователю, что данных не найдено"
,,"а не проще тут без всяких нейросетей просто в коде проанализировать. если есть какие-то ответы от retrieve - составляем промт для llm, если нет - пишем пользователю, что данных не найдено","А как понять, есть он или нет :("
,,,От retrieve всегда есть. С разными cosine similarity
,,От retrieve всегда есть. С разными cosine similarity,"а, поняла"
,,,"реализовать retrieve+rerank сможет 1 человек, который вот только щас начнет учиться ML?)))"
,,"реализовать retrieve+rerank сможет 1 человек, который вот только щас начнет учиться ML?)))","Да... Там пример есть на sbert.net, можно адаптировать. Модели поиском по чату выше можно найти. По ""mmarco"""
,,,Солнечный зайчик захотел ртх….
,,,"и так смотрю, модельки не очень прям большие. средняя компания на своей инфраструктуре потянет"
,,"и так смотрю, модельки не очень прям большие. средняя компания на своей инфраструктуре потянет","Вы учитите что reasoning не будет. То есть найдете документы +/-, но на ответ ""почему"" будет найдено предложение, а не ответ.

То есть условно ""кот запрыгнул на диван чтобы его погладили"", по запросу ""почему кот на диване"" - будет в лучшем случае исходное предложение. С LLM - полноценный ответ"
,,,и нам нужен полноценный ответ
,,и нам нужен полноценный ответ,Ну... успехов... Rerank - это не про генерацию...
,,,ну на первый взгляд проблему можно решить промтом для LLM
,,ну на первый взгляд проблему можно решить промтом для LLM,"Еали пользователи обычные люди, то проект они закопают"
,,,"или через few-shot learning
инженеры-проектировщики"
,,,так а если тогда все же прям fine-tune для большой модели сделать на своем большом корпусе знаний? все равно будут галюцинации?
,,так а если тогда все же прям fine-tune для большой модели сделать на своем большом корпусе знаний? все равно будут галюцинации?,Да не будет такого что прям 100% генеративная станет надёжной офк
,,,"Да, будут"
,,"Да, будут",спасибо всем за ответы!
,,,"Чат, а кто то считал насколько выгоднее 30б чем 7б? Ну типа, там реально так докидывает качество что выгодно держать 30б в проде?"
,,"Чат, а кто то считал насколько выгоднее 30б чем 7б? Ну типа, там реально так докидывает качество что выгодно держать 30б в проде?",А задача какая?
,,,де_генеративные чат боты
,,де_генеративные чат боты,"Если как болталка, то выше 7В нет смысла. Если как ассистент типа сайги, то 30В будет лучше в плане фактологичности и языка"
,,,"Господа, вопрос.

Нужно собрать вопросно-ответный сервис на собственном домене.
Плюс хочется из «официального канцеляризма» преобразовывать ответ в нормальный человеческий. 

Полагаю, что архитектурно это должно быть так:

Пользователь ввел вопрос,
По эмбеддингам я нашел ответ (вот тут, как по мне - самые большие трудности. Тут, как я понимаю, я должен использовать BERT)
Передал в LLM для суммаризации (видимо, я ее дообучаб тоже?).

Подскажите, где я чего верхнеуровнево не учел плюс ткните в хорошую русскую LLM. T5? 

Заранее спасибо. 


P.S. Забугорные модельки использовать нельзя ("
,,"Господа, вопрос.

Нужно собрать вопросно-ответный сервис на собственном домене.
Плюс хочется из «официального канцеляризма» преобразовывать ответ в нормальный человеческий. 

Полагаю, что архитектурно это должно быть так:

Пользователь ввел вопрос,
По эмбеддингам я нашел ответ (вот тут, как по мне - самые большие трудности. Тут, как я понимаю, я должен использовать BERT)
Передал в LLM для суммаризации (видимо, я ее дообучаб тоже?).

Подскажите, где я чего верхнеуровнево не учел плюс ткните в хорошую русскую LLM. T5? 

Заранее спасибо. 


P.S. Забугорные модельки использовать нельзя (","Для начала гляньте
https://t.me/betterdatacommunity/202/20356"
,,,"Теорию я сам знаю, практика цифры"
,,"Теорию я сам знаю, практика цифры","Но мой эксперимент с Анфисой показал, что поиск в интернете улучшает все кардинально"
,,,бизнес метрики
,,бизнес метрики,"Тут модель щас доучится, сделаю замеры качества с и без интернета"
,бизнес метрики,"Тут модель щас доучится, сделаю замеры качества с и без интернета",ну у тебя нет метрик на юзерах
,,,Все будет)
,,Все будет),нет ARPU и вот это все
,,,условно у тебя все убыточно по дефолтку
,,условно у тебя все убыточно по дефолтку,Проект же опенсурс...
,условно у тебя все убыточно по дефолтку,Проект же опенсурс...,ну у меня речь о не опенсурс
,,,"ТЗ (не только благодаря PS) выглядит если не противоречивым, то уже уровня hard вполне"
,,,"Без r', и слэш в другую сторону)"
,,"Без r', и слэш в другую сторону)","есть еще какие-нибудь варианты попробовать?

подсказка - стандартный хак с чтением через нампай работает без танцев со слешем"
,,,Ну... Походу not working. Остается жить с этим
,,Ну... Походу not working. Остается жить с этим,"дык еслиж новая либа - может и имрид починить?
(тем более если рабочее решение прямо на скрине))
проблема-то известная лет надцать как
причем с видеоридером такой проблемы нет - другие люди видимо писали
а тут - тяжелое наследие царского режима"
,Ну... Походу not working. Остается жить с этим,"дык еслиж новая либа - может и имрид починить?
(тем более если рабочее решение прямо на скрине))
проблема-то известная лет надцать как
причем с видеоридером такой проблемы нет - другие люди видимо писали
а тут - тяжелое наследие царского режима",
,,,"согласен, совсем забыл про этот бред. Скоро добавим"
,,"согласен, совсем забыл про этот бред. Скоро добавим","Пользуясь моментом, хотел бы поинтересоваться, есть ли ребята с опытом создания и поддержки библиотек? Ищу человека, который бы мог проконсультировать с этим. Знаю, что не относится к тематики данного чата - единичный запрос. Но уверен, здесь могут быть заинтересованные люди, готовые помочь."
,"согласен, совсем забыл про этот бред. Скоро добавим","Пользуясь моментом, хотел бы поинтересоваться, есть ли ребята с опытом создания и поддержки библиотек? Ищу человека, который бы мог проконсультировать с этим. Знаю, что не относится к тематики данного чата - единичный запрос. Но уверен, здесь могут быть заинтересованные люди, готовые помочь.","Прям вот помочь миль пардон... Где бы время найти на хорошее начинание.

В целом при написании библиотек основное правило - максимум ООП, что есть в языке. Это залог расширяемости и поддерживаемости.

Хороший пример scikit learn"
,,,"хмм, интересно, обычно проблем с этим не возникало, в том же колабе
давайте создам чат, туда можно задавать вопросы по библе
чтобы тут не засорять"
,,,"Гайз, а есть кто во Вьетнаме/тае сейчас? Завтра лечу визаранить в Бали, и хотел бы спросить пару вопросов в духе как там дела с визами на случай если не выйдет обратно влететь"
,,"Гайз, а есть кто во Вьетнаме/тае сейчас? Завтра лечу визаранить в Бали, и хотел бы спросить пару вопросов в духе как там дела с визами на случай если не выйдет обратно влететь","В Тае иззи студенческая виза. 60к бат в год, зависит от школы"
,,,"Т.е. основной смысл в том, чтобы сначала выполнять классический поиск для локализации источника инфы, а потом его и вопрос закидывать в prompt"
,,,"Привет всем! Извиняюсь, если уже спрашивали, но у меня такой вопрос: знаете модель (или скрипт) для русского языка, которая определяет текст на соответствие правилам приличия, законам ? Грубо говоря фильтр. Здесь речь не совсем про токсичность. Нужно  чтобы определяла, есть ли в тексте разговоры о Гитлере, матершинные слова,  сексуальный подтекст, расы, политика и др."
,,"Привет всем! Извиняюсь, если уже спрашивали, но у меня такой вопрос: знаете модель (или скрипт) для русского языка, которая определяет текст на соответствие правилам приличия, законам ? Грубо говоря фильтр. Здесь речь не совсем про токсичность. Нужно  чтобы определяла, есть ли в тексте разговоры о Гитлере, матершинные слова,  сексуальный подтекст, расы, политика и др.","Вот тут есть две модели, одна выделяет разные потенциально опасные темы, другая - определяет бинарно, является ли даннный текст неприемлемым (ибо не любой текст на опасную тему сам по себе плох).
https://github.com/s-nlp/inappropriate-sensitive-topics"
,,,"Привет всем)

Может кто знает, 
Какие есть способы быстро разметить датасэты такого вида?"
,,"Привет всем)

Может кто знает, 
Какие есть способы быстро разметить датасэты такого вида?",if x > 2e4 -> class = 2 elif x > 1e4 -> class = 1 else 0?
,"Привет всем)

Может кто знает, 
Какие есть способы быстро разметить датасэты такого вида?",if x > 2e4 -> class = 2 elif x > 1e4 -> class = 1 else 0?,"Я хочу сделать функционал для разметчиков, чтоб  мышкой выбирать разные кластера, группы и назначать им метки."
,,,Спасибо)
,,,а где у сбера? можешь ссылку дать глянуть?
,,а где у сбера? можешь ссылку дать глянуть?,"Ссылки нет, ходили в сбер с тех. визитом. То, о чем я говорю - это подсистема SberIDP"
,а где у сбера? можешь ссылку дать глянуть?,"Ссылки нет, ходили в сбер с тех. визитом. То, о чем я говорю - это подсистема SberIDP",Ну там надо понимать очень серьёзно сделана система поиска
,,,"А ЛЛМ ток занимается сублимацией того, что нашёл ретривер"
,,"А ЛЛМ ток занимается сублимацией того, что нашёл ретривер","Именно так, да. По сути там LLM работает только с содержанием найденного дока (или его части) как с промтом для формирования ответа на вопрос."
,"А ЛЛМ ток занимается сублимацией того, что нашёл ретривер","Именно так, да. По сути там LLM работает только с содержанием найденного дока (или его части) как с промтом для формирования ответа на вопрос.","Но всё равно, без этого да ЛЛМ хуже по фактологии, но даже с подсказкой оно не гарантирует 100% достоверности"
"А ЛЛМ ток занимается сублимацией того, что нашёл ретривер","Именно так, да. По сути там LLM работает только с содержанием найденного дока (или его части) как с промтом для формирования ответа на вопрос.","Но всё равно, без этого да ЛЛМ хуже по фактологии, но даже с подсказкой оно не гарантирует 100% достоверности","Ну это понятно, но тут вопрос бизнес-процесса уже. Надежнее в смысле, что пользак может перепроверить результаты модели"
"Именно так, да. По сути там LLM работает только с содержанием найденного дока (или его части) как с промтом для формирования ответа на вопрос.","Но всё равно, без этого да ЛЛМ хуже по фактологии, но даже с подсказкой оно не гарантирует 100% достоверности","Ну это понятно, но тут вопрос бизнес-процесса уже. Надежнее в смысле, что пользак может перепроверить результаты модели","Пользак это делать не хочет, пользак хочет сразу дай мне надёжный ответ, я его не проверяя пойду использовать"
"Но всё равно, без этого да ЛЛМ хуже по фактологии, но даже с подсказкой оно не гарантирует 100% достоверности","Ну это понятно, но тут вопрос бизнес-процесса уже. Надежнее в смысле, что пользак может перепроверить результаты модели","Пользак это делать не хочет, пользак хочет сразу дай мне надёжный ответ, я его не проверяя пойду использовать",Тогда это не про LLM в текущем виде вообще ни разу
"Ну это понятно, но тут вопрос бизнес-процесса уже. Надежнее в смысле, что пользак может перепроверить результаты модели","Пользак это делать не хочет, пользак хочет сразу дай мне надёжный ответ, я его не проверяя пойду использовать",Тогда это не про LLM в текущем виде вообще ни разу,Или про систему поддержки принятия решений
"Пользак это делать не хочет, пользак хочет сразу дай мне надёжный ответ, я его не проверяя пойду использовать",Тогда это не про LLM в текущем виде вообще ни разу,Или про систему поддержки принятия решений,"Да. Ну ML - это впринципе либо поддержка принятия решений, либо работа в бизнес процессе не дающем сломать что-либо ML-алгоритму своей ошибкой"
,,,"И там всё равно есть вероятность ошибки глюков и тп
Сингл система поиска по  докам у IDP работает надежнее
Смотрим доклад с SberAIDay
Никто не задумывался почему Яндекс не использует свой YAlM в местах где требуется надёжность ответа) а это важный вопрос. Даже почитав пост про YALM на Хабре с примерам где они её юзают , понимаешь, что она подсобна иным алго более детерминированным в Алисе. И новые УаГПт ака Ялм2.0 даже навык вызывает через ""давай придумаем""
Если это не система поддержки принятия решений"
,,,"На таком же принципе работает поисковик. Да решение конечное за тобой, но много ли вы перепроверяете выдачу?)"
,,"На таком же принципе работает поисковик. Да решение конечное за тобой, но много ли вы перепроверяете выдачу?)",много)
,,,"вообще с галюцинациями все ОК в HUMATA, например"
,,"вообще с галюцинациями все ОК в HUMATA, например","Это система, а не сингл ллм"
,,,"если там задать вопрос, ответа на который нет в документах, сервис так и ответит, что в предоставленных документах информации не нашел"
,,"если там задать вопрос, ответа на который нет в документах, сервис так и ответит, что в предоставленных документах информации не нашел",Кстати если нет инфо в доке отвечает не ллм
,"если там задать вопрос, ответа на который нет в документах, сервис так и ответит, что в предоставленных документах информации не нашел",Кстати если нет инфо в доке отвечает не ллм,"Точнее так. Идёт поиск через условный ретривал, если не нашёл идёт промт в ЛЛМ - скажи что нет ничего"
,,,и используется там GPT3.5
,,и используется там GPT3.5,А значит вокруг есть куча моделек и правил на проверку
,и используется там GPT3.5,А значит вокруг есть куча моделек и правил на проверку,"да не важно, смысл в том, что это реализуемо вполне. про сингл llm и нет речи
можно вообще поизвращаться и сначала зафайнтюнить свою LLM на нужные знания, а потом эту зафайнтюненную модель еще и в цепочке retrieval+LLM использовать)))"
,,,или retrieval+rerank+fine-tunedLLM) :D
,,или retrieval+rerank+fine-tunedLLM) :D,ЛЛМ какую бы надёжную вырезку бы ей не дал может её переврать
,,,"всем привет) поделитесь, пожалуйста, вашими способами, как фильтруете тарабарщину по типу уойипйуипйоаы йоимойий и тд? 

- делала доп классификатор на них 
- фильтровала через вхождения в общий словарь 
- пробовала фильтр по частям слова"
,,"всем привет) поделитесь, пожалуйста, вашими способами, как фильтруете тарабарщину по типу уойипйуипйоаы йоимойий и тд? 

- делала доп классификатор на них 
- фильтровала через вхождения в общий словарь 
- пробовала фильтр по частям слова","Взяли сет из сокращений, аббревиатур и тарабарщины и поверх фриз Роберты обучили mlp"
,,,"Я не фильтрую, но по идее прогнать bert и получить confidence каждого слова. Наверняка их можно будет оттресхолдить"
,,"Я не фильтрую, но по идее прогнать bert и получить confidence каждого слова. Наверняка их можно будет оттресхолдить",Берт для классификации тарабарщина или нет или для другой какой-то задачи и потом по токенам на скоры смотреть?
,,,Аннотатор обучаем
,,,Вот что за люди ищут золотую пулю в ллм
,,Вот что за люди ищут золотую пулю в ллм,по вашему такую задачу вообще не стоит делать?
,Вот что за люди ищут золотую пулю в ллм,по вашему такую задачу вообще не стоит делать?,"Стоит, но сделать правильно архитектуру системы"
Вот что за люди ищут золотую пулю в ллм,по вашему такую задачу вообще не стоит делать?,"Стоит, но сделать правильно архитектуру системы","это понятно. нам для продакшена... и на коленке делать это мы не будем. у меня пока цель просто оценить возможность реализации такой фичи. грубо говоря ответить на вопрос, а стоит ли вообще начинать? и сколько будет стоить, что еще не мало важно"
,,,В нашем собеседнике норм работает
,,В нашем собеседнике норм работает,"интересные 1 и 3 подходы, по перпрлексии не фильтровала,  спасибо)"
,В нашем собеседнике норм работает,"интересные 1 и 3 подходы, по перпрлексии не фильтровала,  спасибо)",подскажите пожалуйста подходы по клонированию поведения личности путем обучения на текстовых данных. Какие сейчас модели для этого лучше подходят и в целом SOTA подходы для этого. Заранее благодарю
В нашем собеседнике норм работает,"интересные 1 и 3 подходы, по перпрлексии не фильтровала,  спасибо)",подскажите пожалуйста подходы по клонированию поведения личности путем обучения на текстовых данных. Какие сейчас модели для этого лучше подходят и в целом SOTA подходы для этого. Заранее благодарю,"Хай. 
Есть кто-нибудь с опытом работы Dash? 
 Интерфейс пишу, глюки ловлю)
Если подробнее, то PIL Image не отрисовывается через plotly.express.imshow() хотя должно, вроде"
,,,"Всем привет!
Делаю распознавание штрихкодов на нейронке и делаю по голове для каждой цифры кода вот так:"
,,"Всем привет!
Делаю распознавание штрихкодов на нейронке и делаю по голове для каждой цифры кода вот так:",Просто у меня при инференсе баг вылазит очень странный
,,,"Это правильно, или я что-то делаю не так?"
,,"Это правильно, или я что-то делаю не так?","Ты делаешь прямо много супер-странных вещей.
1. Что такое ctrl_code?
2. Что у тебя за лосс?
3. Почему голов 10?.. в штрихкоде не 10 же цифр.
...

> Ответ модели зависит от размера батча почему-то
где-то ошибаешься с размерностями, но это проще простого если мешать туплы и тензоры"
,"Это правильно, или я что-то делаю не так?","Ты делаешь прямо много супер-странных вещей.
1. Что такое ctrl_code?
2. Что у тебя за лосс?
3. Почему голов 10?.. в штрихкоде не 10 же цифр.
...

> Ответ модели зависит от размера батча почему-то
где-то ошибаешься с размерностями, но это проще простого если мешать туплы и тензоры",А как не через tuple вернуть ответы голов?
"Это правильно, или я что-то делаю не так?","Ты делаешь прямо много супер-странных вещей.
1. Что такое ctrl_code?
2. Что у тебя за лосс?
3. Почему голов 10?.. в штрихкоде не 10 же цифр.
...

> Ответ модели зависит от размера батча почему-то
где-то ошибаешься с размерностями, но это проще простого если мешать туплы и тензоры",А как не через tuple вернуть ответы голов?,Сконкатенировать тензор?
,,,Обучаю вот так:
,,Обучаю вот так:,Замечание чисто по коду: было бы лучше использовать nn.ModuleList в этом случае
,,,Ответ модели зависит от размера батча почему-то
,,Ответ модели зависит от размера батча почему-то,"Вот это не понятно все равно.
А когда предикт делаешь модельку в eval переключаешь?"
,Ответ модели зависит от размера батча почему-то,"Вот это не понятно все равно.
А когда предикт делаешь модельку в eval переключаешь?","Я дурак, извиняюсь, за такое. Переключил, теперь всё норм работает"
Ответ модели зависит от размера батча почему-то,"Вот это не понятно все равно.
А когда предикт делаешь модельку в eval переключаешь?","Я дурак, извиняюсь, за такое. Переключил, теперь всё норм работает","Да ну, хорошо что так легко разрешилось)
Искать перепутанные размерности в тензорах из туплов то еще удовольствие)"
,,,"1. Это контрольная цифра (т.е там 10 основных цифр и одна контрольная)
2. К каждой голове применяю CrossEntropyLoss
3. В данных штрихкодах всегда 10 цифр"
,,"1. Это контрольная цифра (т.е там 10 основных цифр и одна контрольная)
2. К каждой голове применяю CrossEntropyLoss
3. В данных штрихкодах всегда 10 цифр",а у контрольной цифры точно 103 допустимых значения?
,"1. Это контрольная цифра (т.е там 10 основных цифр и одна контрольная)
2. К каждой голове применяю CrossEntropyLoss
3. В данных штрихкодах всегда 10 цифр",а у контрольной цифры точно 103 допустимых значения?,Да
,,,Там взвешенная на позицию элемента контрольная сумма считается и контрольная цифра - это остаток от деления на 103
,,Там взвешенная на позицию элемента контрольная сумма считается и контрольная цифра - это остаток от деления на 103,"Ты же сам пишешь, это не мултикласс. Тебе важно чтобы i-ая голова правильно предсказала i-ую по счету цифру, а не абстрактное наличие цифр"
,,,Поэтому там их может быть 103 допустимых значения
,,,"Замени все головы на ОДНУ суммарной размерности (10 * 10 + 103), полученный тензор рейшейпь/распиливай на отдельные предикты. 
Скажем первые 100 превратить в [bs, classes, digits], остальные в [bs, possible_values], сложи в словарь, возвращай словарь.
> так у тебя будет и код читабельные и тензора
Алсо, покажи подсчет лосса, а то выглядит сомнительно."
,,"Замени все головы на ОДНУ суммарной размерности (10 * 10 + 103), полученный тензор рейшейпь/распиливай на отдельные предикты. 
Скажем первые 100 превратить в [bs, classes, digits], остальные в [bs, possible_values], сложи в словарь, возвращай словарь.
> так у тебя будет и код читабельные и тензора
Алсо, покажи подсчет лосса, а то выглядит сомнительно.","Окей, попробую, спасибо"
,,,"Что еще странно: self.backbone = ...
avgpool выбросит всю пространственную информацию, а она важна в твоей задаче"
,,"Что еще странно: self.backbone = ...
avgpool выбросит всю пространственную информацию, а она важна в твоей задаче",Это от EffNet оставил
,,,"Так там небось классификацию решали (в которой пространственная информация в глубоких слоях уже не важна), а ты хочешь последовательность цифр доставать"
,,"Так там небось классификацию решали (в которой пространственная информация в глубоких слоях уже не важна), а ты хочешь последовательность цифр доставать","Да, но тут то я как бы цифры независимо предсказываю"
,,,Что похоже на мультиклассовую классификацию
,,Что похоже на мультиклассовую классификацию,Так что adaptive avg pool (чтобы фиксированного размера выход получался) + flatten(чтобы порядок не терять)
,,,"Если это действительно сетка с имаджнета,  интересно было бы узнать, какая интуиция для выбора этой сетки в качестве экстрактора фичей для штрихкодов"
,,"Если это действительно сетка с имаджнета,  интересно было бы узнать, какая интуиция для выбора этой сетки в качестве экстрактора фичей для штрихкодов",https://arxiv.org/pdf/2004.06297.pdf
,"Если это действительно сетка с имаджнета,  интересно было бы узнать, какая интуиция для выбора этой сетки в качестве экстрактора фичей для штрихкодов",https://arxiv.org/pdf/2004.06297.pdf,"я не сомневаюсь, что оно может заработать, даже уверен, что это можно сделать существенно лучше рандома, но почему-то кажется, что могут быть варианты получше, чем выход последней свертки сетки с имаджнета (ну или глобал пулинга) учитывая специфику вашей задачи и т.к. свертка там обучалась так, чтобы работала классификация на имаджнете.
Например, что вы думаете насчёт того, чтобы не брать всю сетку, а только первые k слоев, заморозить их и дообучить не только линейный классификатор, но и свой сверточный блок? Более того, как выше справедливо заметили, вам действительно нужна пространственная информация, вы сможете написать что-то, что вам больше подходит, чем  global average pooling. Но, конечно, сначала есть смысл попробовать то, что сделать быстрее всего)"
"Если это действительно сетка с имаджнета,  интересно было бы узнать, какая интуиция для выбора этой сетки в качестве экстрактора фичей для штрихкодов",https://arxiv.org/pdf/2004.06297.pdf,"я не сомневаюсь, что оно может заработать, даже уверен, что это можно сделать существенно лучше рандома, но почему-то кажется, что могут быть варианты получше, чем выход последней свертки сетки с имаджнета (ну или глобал пулинга) учитывая специфику вашей задачи и т.к. свертка там обучалась так, чтобы работала классификация на имаджнете.
Например, что вы думаете насчёт того, чтобы не брать всю сетку, а только первые k слоев, заморозить их и дообучить не только линейный классификатор, но и свой сверточный блок? Более того, как выше справедливо заметили, вам действительно нужна пространственная информация, вы сможете написать что-то, что вам больше подходит, чем  global average pooling. Но, конечно, сначала есть смысл попробовать то, что сделать быстрее всего)",А есть ли смысл брать предобученные первые слои?
